time,G(i),H_sun,T2m,WS10m,Int
20200106:0611,0,0,6.71,8,0
20200106:0711,0,0,6.58,8.21,0
20200106:0811,0,0,6.62,8.41,0
20200106:0911,0.91,2.49,6.99,8.97,0
20200106:1011,20.35,7.35,7.33,9.1,0
20200106:1111,64.67,10.49,7.63,9.03,0
20200106:1211,355.76,11.67,7.78,9.03,0
20200106:1311,167.25,10.78,7.78,8.62,0
20200106:1411,310.59,7.9,7.71,8.07,0
20200106:1511,1.8,3.27,7.65,7.45,0
20200106:1611,0,0,7.47,6.34,0
20200106:1711,0,0,7.01,6.34,0
20200106:1811,0,0,6.27,6.9,0
20200106:1911,0,0,6.08,6.76,0
20200106:2011,0,0,5.85,6.76,0
20200106:2111,0,0,5.56,6.21,0
20200106:2211,0,0,5.34,5.93,0
20200106:2311,0,0,5.14,5.72,0
20200107:0011,0,0,4.91,5.59,0
20200107:0111,0,0,4.85,5.72,0
20200107:0211,0,0,4.68,5.66,0
20200107:0311,0,0,4.62,5.59,0
20200107:0411,0,0,4.88,5.93,0
20200107:0511,0,0,5.26,6.48,0
20200107:0611,0,0,5.71,6.97,0
20200107:0711,0,0,6.44,8.28,0
20200107:0811,0,0,7.29,9.38,0
20200107:0911,4.56,2.56,7.78,9.72,0
20200107:1011,10.17,7.44,8.11,10.21,0
20200107:1111,94.89,10.6,8.92,11.03,0
20200107:1211,13.17,11.79,9.94,11.59,0
20200107:1311,212.69,10.91,10.58,12,0
20200107:1411,51.11,8.05,10.96,12.28,0
20200107:1511,156.31,3.42,11.11,12.14,0
20200107:1611,0,0,11.3,11.38,0
20200107:1711,0,0,11.34,10.69,0
20200107:1811,0,0,11.46,10.48,0
20200107:1911,0,0,11.94,10.69,0
20200107:2011,0,0,12.01,10.21,0
20200107:2111,0,0,11.33,9.72,0
20200107:2211,0,0,10.64,9.72,0
20200107:2311,0,0,9.94,9.59,0
20200108:0011,0,0,8.8,8.83,0
20200108:0111,0,0,7.09,8.41,0
20200108:0211,0,0,6.11,7.86,0
20200108:0311,0,0,5.51,7.1,0
20200108:0411,0,0,5,7.17,0
20200108:0511,0,0,4.5,7.03,0
20200108:0611,0,0,4.11,6.83,0
20200108:0711,0,0,4.61,6.76,0
20200108:0811,0,0,4.3,6.76,0
20200108:0911,4.1,2.64,3.96,6.83,0
20200108:1011,349.82,7.53,4.09,7.03,0
20200108:1111,73.88,10.71,4.39,7.38,0
20200108:1211,658.62,11.92,4.55,7.52,0
20200108:1311,678.6,11.06,4.69,6.83,0
20200108:1411,114.36,8.2,4.51,7.72,0
20200108:1511,312.01,3.58,4.26,6.9,0
20200108:1611,0,0,3.68,6.34,0
20200108:1711,0,0,3.28,6,0
20200108:1811,0,0,3.1,5.31,0
20200108:1911,0,0,3.14,4.48,0
20200108:2011,0,0,2.74,3.52,0
20200108:2111,0,0,2.6,2.9,0
20200108:2211,0,0,2.43,2.83,0
20200108:2311,0,0,2.28,2.62,0
20200109:0011,0,0,2.23,2.28,0
20200109:0111,0,0,2.15,1.66,0
20200109:0211,0,0,2.02,1.24,0
20200109:0311,0,0,2.02,1.59,0
20200109:0411,0,0,2.27,2.14,0
20200109:0511,0,0,2.42,2.97,0
20200109:0611,0,0,2.3,3.17,0
20200109:0711,0,0,2.12,3.45,0
20200109:0811,0,0,2.23,3.79,0
20200109:0911,1.82,2.73,2.26,3.79,0
20200109:1011,5.39,7.64,2.38,3.72,0
20200109:1111,23.94,10.83,2.53,3.59,0
20200109:1211,125.68,12.06,2.92,3.86,0
20200109:1311,104.21,11.21,3.31,3.66,0
20200109:1411,13.77,8.36,3.52,3.24,0
20200109:1511,52.44,3.74,3.65,3.17,0
20200109:1611,0,0,3.52,2.9,0
20200109:1711,0,0,3.3,2.9,0
20200109:1811,0,0,3.01,2.9,0
20200109:1911,0,0,3.22,2.28,0
20200109:2011,0,0,2.81,2.62,0
20200109:2111,0,0,2.62,2.9,0
20200109:2211,0,0,2.39,2.97,0
20200109:2311,0,0,1.93,3.1,0
20200110:0011,0,0,1.36,2.97,0
20200110:0111,0,0,0.83,2.62,0
20200110:0211,0,0,0.1,2.76,0
20200110:0311,0,0,-0.15,2.97,0
20200110:0411,0,0,-0.22,3.03,0
20200110:0511,0,0,-0.18,3.24,0
20200110:0611,0,0,0.16,3.45,0
20200110:0711,0,0,0.46,3.31,0
20200110:0811,0,0,0.8,3.45,0
20200110:0911,2.74,2.83,1.32,3.52,0
20200110:1011,166.27,7.75,2.31,3.72,0
20200110:1111,671.97,10.96,3.3,3.72,0
20200110:1211,729.68,12.2,4.16,3.52,0
20200110:1311,539.03,11.36,4.5,3.86,0
20200110:1411,103.94,8.52,4.44,4.76,0
20200110:1511,79.52,3.91,4.19,5.24,0
20200110:1611,0,0,3.79,5.79,0
20200110:1711,0,0,3.62,6.14,0
20200110:1811,0,0,3.76,7.1,0
20200110:1911,0,0,4.88,8.34,0
20200110:2011,0,0,5.49,8.97,0
20200110:2111,0,0,5.66,9.31,0
20200110:2211,0,0,6.02,10,0
20200110:2311,0,0,6.55,10.34,0
20200111:0011,0,0,7.18,11.03,0
20200111:0111,0,0,7.86,11.1,0
20200111:0211,0,0,8.24,11.17,0
20200111:0311,0,0,8.68,11.72,0
20200111:0411,0,0,8.98,11.93,0
20200111:0511,0,0,9.07,11.93,0
20200111:0611,0,0,9.16,12.07,0
20200111:0711,0,0,9.3,12,0
20200111:0811,0,0,9.4,12,0
20200111:0911,5.93,2.93,9.42,11.93,0
20200111:1011,60.52,7.87,9.69,11.86,0
20200111:1111,95.61,11.09,9.89,11.38,0
20200111:1211,33.52,12.35,10.29,10.9,0
20200111:1311,74.86,11.53,10.4,9.79,0
20200111:1411,11.97,8.7,10.16,7.66,0
20200111:1511,2.99,4.09,9.39,6.14,0
20200111:1611,0,0,8.48,5.93,0
20200111:1711,0,0,8.13,5.93,0
20200111:1811,0,0,7.82,6,0
20200111:1911,0,0,7.44,6.62,0
20200111:2011,0,0,6.96,6.48,0
20200111:2111,0,0,6.59,6.21,0
20200111:2211,0,0,6.16,5.86,0
20200111:2311,0,0,5.75,5.52,0
20200112:0011,0,0,5.35,4.9,0
20200112:0111,0,0,4.51,4.48,0
20200112:0211,0,0,3.9,4,0
20200112:0311,0,0,3.34,3.66,0
20200112:0411,0,0,2.95,3.52,0
20200112:0511,0,0,2.56,3.38,0
20200112:0611,0,0,2.63,3.38,0
20200112:0711,0,0,3.36,4,0
20200112:0811,0,0,3.72,4.28,0
20200112:0911,5.93,3.04,3.95,4.62,0
20200112:1011,138.98,7.99,4.22,4.97,0
20200112:1111,398.55,11.24,4.45,5.79,0
20200112:1211,759.07,12.51,4.61,6.14,0
20200112:1311,783.76,11.7,4.61,5.86,0
20200112:1411,627.11,8.87,4.51,5.72,0
20200112:1511,355.39,4.27,4.19,5.38,0
20200112:1611,0,0,3.52,5.1,0
20200112:1711,0,0,3,5.1,0
20200112:1811,0,0,2.59,4.97,0
20200112:1911,0,0,2.94,5.1,0
20200112:2011,0,0,2.8,5.03,0
20200112:2111,0,0,2.66,4.9,0
20200112:2211,0,0,2.61,4.97,0
20200112:2311,0,0,2.71,5.17,0
20200113:0011,0,0,2.73,5.17,0
20200113:0111,0,0,2.81,5.24,0
20200113:0211,0,0,2.79,5.38,0
20200113:0311,0,0,2.83,5.24,0
20200113:0411,0,0,2.86,5.1,0
20200113:0511,0,0,2.71,5.31,0
20200113:0611,0,0,2.87,5.52,0
20200113:0711,0,0,3.21,6.34,0
20200113:0811,0,0,3.3,6.55,0
20200113:0911,5.47,3.15,3.47,6.9,0
20200113:1011,52.29,8.13,4.02,7.38,0
20200113:1111,32.32,11.39,4.43,7.52,0
20200113:1211,91.74,12.67,4.81,8,0
20200113:1311,76.5,11.87,4.96,8.28,0
20200113:1411,21.55,9.06,5.08,8.76,0
20200113:1511,7.18,4.46,5.25,9.66,0
20200113:1611,0,0,5.48,10.28,0
20200113:1711,0,0,5.3,10.21,0
20200113:1811,0,0,4.94,9.93,0
20200113:1911,0,0,5.47,9.59,0
20200113:2011,0,0,5.18,10.07,0
20200113:2111,0,0,5.23,9.38,0
20200113:2211,0,0,5.1,8.76,0
20200113:2311,0,0,4.61,8.48,0
20200114:0011,0,0,4.23,8.55,0
20200114:0111,0,0,3.65,8.28,0
20200114:0211,0,0,3.42,8.07,0
20200114:0311,0,0,3.1,8,0
20200114:0411,0,0,2.8,8,0
20200114:0511,0,0,2.63,7.93,0
20200114:0611,0,0,2.54,7.86,0
20200114:0711,0,0,3.14,7.45,0
20200114:0811,0,0,3.09,7.17,0
20200114:0911,23.22,3.28,2.96,6.83,0
20200114:1011,95.07,8.27,3.28,6.62,0
20200114:1111,89.95,11.54,4.03,6.83,0
20200114:1211,10.17,12.85,4.68,6.97,0
20200114:1311,20.95,12.06,4.43,6.07,0
20200114:1411,6.58,9.25,3.51,5.1,0
20200114:1511,9.58,4.65,2.9,4.07,0
20200114:1611,0,0,2.42,3.93,0
20200114:1711,0,0,2.14,3.66,0
20200114:1811,0,0,2.14,5.03,0
