time,G(i),H_sun,T2m,WS10m,Int
20200328:0611,0,0,3.12,4.69,0
20200328:0711,58.06,10.26,3.43,5.17,0
20200328:0811,186.55,18.33,3.78,5.79,0
20200328:0911,346.27,25.61,4.05,6.83,0
20200328:1011,693.88,31.58,4.26,6.83,0
20200328:1111,282.51,35.61,4.43,7.31,0
20200328:1211,144.69,37.17,4.21,7.79,0
20200328:1311,76.01,36,4.21,8.28,0
20200328:1411,253.26,32.3,3.89,8,0
20200328:1511,430.09,26.58,3.79,8.48,0
20200328:1611,377.39,19.45,3.42,8.62,0
20200328:1711,178.37,11.46,2.77,8.28,0
20200328:1811,6.38,3.09,2.16,7.72,0
20200328:1911,0,0,1.77,7.45,0
20200328:2011,0,0,1.53,7.52,0
20200328:2111,0,0,1.2,7.52,0
20200328:2211,0,0,0.95,7.31,0
20200328:2311,0,0,0.81,7.45,0
20200329:0011,0,0,0.6,7.59,0
20200329:0111,0,0,0.52,7.66,0
20200329:0211,0,0,0.51,7.45,0
20200329:0311,0,0,0.56,7.31,0
20200329:0411,0,0,0.58,7.1,0
20200329:0511,0,0,0.66,6.83,0
20200329:0611,0.91,2.24,0.77,6.41,0
20200329:0711,35.9,10.63,0.3,7.66,0
20200329:0811,69.45,18.7,0.67,7.03,0
20200329:0911,80.2,26,1.3,6.76,0
20200329:1011,105.2,31.97,1.67,6.48,0
20200329:1111,146.94,36.01,2.13,5.93,0
20200329:1211,258.37,37.56,2.57,5.45,0
20200329:1311,376.43,36.37,2.81,4.76,0
20200329:1411,348.47,32.64,3.42,4.76,0
20200329:1511,283.16,26.89,3.81,4.21,0
20200329:1611,155.36,19.74,4.01,3.52,0
20200329:1711,44.44,11.74,3.96,2.97,0
20200329:1811,1.82,3.37,3.71,2.97,0
20200329:1911,0,0,3.66,4.21,0
20200329:2011,0,0,3.71,4.48,0
20200329:2111,0,0,3.76,4.76,0
20200329:2211,0,0,3.67,4.83,0
20200329:2311,0,0,3.75,4.97,0
20200330:0011,0,0,3.69,4.97,0
20200330:0111,0,0,3.56,4.76,0
20200330:0211,0,0,3.38,4.55,0
20200330:0311,0,0,3.39,4.55,0
20200330:0411,0,0,3.34,4.48,0
20200330:0511,0,0,3.28,4.21,0
20200330:0611,3.65,2.6,3.38,4,0
20200330:0711,86.15,11,3.39,4.14,0
20200330:0811,311.82,19.08,4.3,4.21,0
20200330:0911,572.72,26.38,4.82,5.1,0
20200330:1011,732.35,32.36,5.49,5.03,0
20200330:1111,649.54,36.41,6.27,5.24,0
20200330:1211,900.86,37.95,7,5.31,0
20200330:1311,868.24,36.74,7.36,5.03,0
20200330:1411,736.59,32.98,7.06,4.07,0
20200330:1511,531.17,27.21,7.17,4.07,0
20200330:1611,240.76,20.04,6.85,3.66,0
20200330:1711,111.79,12.03,6.14,3.03,0
20200330:1811,6.84,3.65,5.52,2.48,0
20200330:1911,0,0,5.08,2.97,0
20200330:2011,0,0,4.67,2.97,0
20200330:2111,0,0,4.65,2.97,0
20200330:2211,0,0,4.19,2.76,0
20200330:2311,0,0,3.73,2.48,0
20200331:0011,0,0,3.65,2.34,0
20200331:0111,0,0,3.66,2.07,0
20200331:0211,0,0,3.29,1.52,0
20200331:0311,0,0,2.92,1.38,0
20200331:0411,0,0,2.57,1.31,0
20200331:0511,0,0,2.34,1.38,0
20200331:0611,2.28,2.97,2.15,1.59,0
20200331:0711,52.21,11.36,2.79,1.52,0
20200331:0811,164.07,19.45,4.32,2.14,0
20200331:0911,149.85,26.76,5.14,2.97,0
20200331:1011,112.34,32.76,5.54,3.17,0
20200331:1111,232.38,36.8,6.22,3.1,0
20200331:1211,397.55,38.34,6.59,2.97,0
20200331:1311,269.7,37.11,6.89,2.83,0
20200331:1411,55.06,33.33,7.13,2.76,0
20200331:1511,119.19,27.52,7.12,2.62,0
20200331:1611,119.01,20.33,6.9,2.55,0
20200331:1711,76.83,12.31,6.7,2.41,0
20200331:1811,4.56,3.92,6.42,2.14,0
20200331:1911,0,0,6.36,2,0
20200331:2011,0,0,5.89,2.28,0
20200331:2111,0,0,5.57,2.62,0
20200331:2211,0,0,5.15,2.97,0
20200331:2311,0,0,4.83,3.31,0
20200401:0011,0,0,4.4,3.45,0
20200401:0111,0,0,4.09,3.31,0
20200401:0211,0,0,3.74,3.24,0
20200401:0311,0,0,3.28,3.24,0
20200401:0411,0,0,2.95,3.52,0
20200401:0511,0,0,2.4,3.72,0
20200401:0611,3.19,3.33,2.09,4,0
20200401:0711,59.87,11.73,3.01,4.14,0
20200401:0811,140.03,19.82,4.08,5.31,0
20200401:0911,224.13,27.14,5.16,5.45,0
20200401:1011,259.51,33.15,6.08,6,0
20200401:1111,354.92,37.2,6.92,6.28,0
20200401:1211,396.16,38.72,7.4,6.21,0
20200401:1311,393.41,37.48,7.74,6.07,0
20200401:1411,90.97,33.67,8.33,6.34,0
20200401:1511,87.38,27.83,8.63,6.62,0
20200401:1611,100.82,20.62,8.45,6.83,0
20200401:1711,123.75,12.58,7.92,6.76,0
20200401:1811,7.75,4.2,7.11,6.07,0
20200401:1911,0,0,6.28,5.31,0
20200401:2011,0,0,5.93,5.1,0
20200401:2111,0,0,5.75,5.17,0
20200401:2211,0,0,5.37,5.31,0
20200401:2311,0,0,5.02,5.52,0
20200402:0011,0,0,4.65,5.93,0
20200402:0111,0,0,4.47,6.48,0
20200402:0211,0,0,4.31,6.97,0
20200402:0311,0,0,4.53,7.38,0
20200402:0411,0,0,4.98,7.93,0
20200402:0511,0,0,5.41,8.28,0
20200402:0611,5.93,3.69,5.63,8.76,0
20200402:0711,74.75,12.09,6.72,9.24,0
20200402:0811,343.74,20.19,7.21,9.66,0
20200402:0911,181.09,27.52,7.3,9.86,0
20200402:1011,220.82,33.54,7.17,9.52,0
20200402:1111,637.03,37.59,6.79,8.97,0
20200402:1211,666.84,39.11,6.89,8.62,0
20200402:1311,90.97,37.84,6.86,8.07,0
20200402:1411,58.65,34,6.73,7.38,0
20200402:1511,329.5,28.15,6.39,7.17,0
20200402:1611,278.52,20.91,6.06,6.83,0
20200402:1711,45.79,12.86,5.59,6.34,0
20200402:1811,2.28,4.47,4.99,5.79,0
20200402:1911,0,0,4.29,5.38,0
20200402:2011,0,0,3.53,5.17,0
20200402:2111,0,0,2.82,5.03,0
20200402:2211,0,0,2.14,4.9,0
20200402:2311,0,0,1.57,4.83,0
20200403:0011,0,0,1.09,4.76,0
20200403:0111,0,0,0.54,4.76,0
20200403:0211,0,0,0.24,4.69,0
20200403:0311,0,0,0.04,4.62,0
20200403:0411,0,0,-0.02,4.55,0
20200403:0511,0,0,-0.07,4.41,0
20200403:0611,6.38,4.06,-0.08,4.28,0
20200403:0711,94.28,12.46,1.33,3.93,0
20200403:0811,106.56,20.56,2.73,4.62,0
20200403:0911,162.76,27.9,4.15,5.66,0
20200403:1011,404.81,33.92,5.16,5.59,0
20200403:1111,198.57,37.98,5.72,4.97,0
20200403:1211,146.7,39.5,6.24,5.24,0
20200403:1311,93.37,38.21,6.58,5.38,0
20200403:1411,60.45,34.34,6.85,5.66,0
20200403:1511,176.41,28.45,6.55,5.03,0
20200403:1611,64.04,21.2,7.06,4.48,0
20200403:1711,73.59,13.14,7.01,4.34,0
20200403:1811,6.84,4.75,6.2,3.79,0
20200403:1911,0,0,5.5,4,0
20200403:2011,0,0,5.28,4.21,0
20200403:2111,0,0,4.71,4.21,0
20200403:2211,0,0,4.32,4.07,0
20200403:2311,0,0,4.01,3.93,0
20200404:0011,0,0,3.82,3.86,0
20200404:0111,0,0,3.78,3.72,0
20200404:0211,0,0,3.55,3.72,0
20200404:0311,0,0,3.41,3.59,0
20200404:0411,0,0,3.27,3.31,0
20200404:0511,0,0,3.01,3.1,0
20200404:0611,5.93,4.41,2.92,3.03,0
20200404:0711,76,12.82,3.94,3.03,0
20200404:0811,188.09,20.92,5.42,3.45,0
20200404:0911,99.86,28.28,6.92,4.83,0
20200404:1011,178.51,34.31,8.05,4.83,0
20200404:1111,172.85,38.37,8.37,4.76,0
20200404:1211,213.68,39.88,8.83,5.31,0
20200404:1311,217.17,38.57,8.79,5.52,0
20200404:1411,242.96,34.67,8.31,5.24,0
20200404:1511,176.81,28.76,8.38,5.59,0
20200404:1611,192.24,21.48,8.3,5.52,0
20200404:1711,29.92,13.41,8.09,4.69,0
20200404:1811,4.1,5.02,7.64,4.14,0
20200404:1911,0,0,7.37,3.86,0
20200404:2011,0,0,7.38,4,0
20200404:2111,0,0,7.47,4.28,0
20200404:2211,0,0,7.61,4.34,0
20200404:2311,0,0,7.49,4.48,0
20200405:0011,0,0,7.3,4.55,0
20200405:0111,0,0,6.97,4.55,0
20200405:0211,0,0,6.52,4.62,0
20200405:0311,0,0,6.07,4.62,0
20200405:0411,0,0,5.62,4.34,0
20200405:0511,0,0,5.23,4,0
20200405:0611,2.28,4.77,5.02,3.93,0
20200405:0711,44.56,13.17,5.93,3.93,0
20200405:0811,218.43,21.29,7.35,4.28,0
20200405:0911,341.72,28.65,8.82,5.59,0
20200405:1011,675.43,34.69,10.27,6.28,0
20200405:1111,234.35,38.76,11.39,7.03,0
20200405:1211,830.85,40.26,12.05,7.38,0
20200405:1311,393.94,38.93,12.61,6.97,0
20200405:1411,238.15,35.01,13.2,6.55,0
20200405:1511,398.18,29.07,13.46,6.14,0
20200405:1611,323.58,21.77,13.35,6,0
20200405:1711,164.24,13.69,13.34,6.76,0
20200405:1811,13.22,5.29,13.17,6.41,0
20200405:1911,0,0,12.78,6.48,0
20200405:2011,0,0,12.78,6.9,0
20200405:2111,0,0,12.7,6.97,0
20200405:2211,0,0,12.15,7.03,0
20200405:2311,0,0,11.95,7.38,0
20200406:0011,0,0,11.48,7.52,0
20200406:0111,0,0,10.97,7.38,0
20200406:0211,0,0,11.27,7.59,0
20200406:0311,0,0,11.09,7.86,0
20200406:0411,0,0,10.38,7.86,0
20200406:0511,0,0,9.18,7.45,0
20200406:0611,2.74,5.13,8.06,6.69,0
20200406:0711,30.52,13.53,7.95,5.66,0
20200406:0811,225.12,21.65,8.4,7.1,0
20200406:0911,522.32,29.02,8.94,7.38,0
20200406:1011,734.17,35.07,9.35,6.83,0
20200406:1111,691.77,39.15,9.72,6.48,0
20200406:1211,483.42,40.64,10.18,6.76,0
20200406:1311,265.43,39.29,10.12,6.83,0
20200406:1411,613.34,35.34,9.99,6.76,0
20200406:1511,568.5,29.37,9.89,6.69,0
20200406:1611,346.85,22.05,9.61,6.41,0
20200406:1711,160.68,13.96,9.28,5.72,0
20200406:1811,14.14,5.56,8.57,4.76,0
20200406:1911,0,0,7.91,3.86,0
20200406:2011,0,0,7,3.38,0
20200406:2111,0,0,6.19,3.03,0
20200406:2211,0,0,5.55,2.97,0
20200406:2311,0,0,5.06,2.9,0
20200407:0011,0,0,4.63,2.76,0
20200407:0111,0,0,4.17,2.76,0
20200407:0211,0,0,3.8,2.76,0
20200407:0311,0,0,3.49,2.83,0
20200407:0411,0,0,3.26,2.9,0
20200407:0511,0,0,3.14,3.03,0
20200407:0611,8.21,5.48,3.21,3.17,0
20200407:0711,72.24,13.88,4.55,2.97,0
20200407:0811,240,22.01,6.36,3.45,0
20200407:0911,470.76,29.39,7.94,3.86,0
20200407:1011,716.48,35.45,9.19,4.34,0
20200407:1111,826.18,39.53,10.18,4.62,0
20200407:1211,799.44,41.02,11.01,4.97,0
20200407:1311,712.18,39.65,11.73,5.1,0
20200407:1411,634.91,35.67,12.1,4.97,0
20200407:1511,535.96,29.67,12.18,4.9,0
20200407:1611,365.61,22.34,11.98,4.97,0
20200407:1711,160.12,14.23,11.47,4.76,0
20200407:1811,14.59,5.83,10.52,4.76,0
20200407:1911,0,0,9.26,4.41,0
20200407:2011,0,0,7.97,4.28,0
20200407:2111,0,0,6.96,4.21,0
20200407:2211,0,0,6.25,4.21,0
20200407:2311,0,0,5.8,4.21,0
20200408:0011,0,0,5.57,4.28,0
20200408:0111,0,0,5.65,4.28,0
20200408:0211,0,0,5.66,4.21,0
20200408:0311,0,0,5.49,4,0
20200408:0411,0,0,5.42,3.72,0
20200408:0511,0,0,5.17,3.45,0
20200408:0611,15.5,5.83,4.97,3.38,0
20200408:0711,58.42,14.24,6.08,3.45,0
20200408:0811,196.11,22.37,7.73,4,0
20200408:0911,558.45,29.76,9.39,4.21,0
20200408:1011,709.13,35.83,10.75,4.41,0
20200408:1111,827.06,39.91,12,4.97,0
20200408:1211,826.46,41.39,13.13,5.17,0
20200408:1311,804.28,40,13.61,4.83,0
20200408:1411,538.89,35.99,13.91,4.48,0
20200408:1511,553.51,29.97,13.85,4.28,0
20200408:1611,243.64,22.62,13.45,3.38,0
20200408:1711,122.66,14.5,12.95,3.1,0
20200408:1811,10.03,6.1,12.01,3.17,0
20200408:1911,0,0,11.32,3.45,0
20200408:2011,0,0,10.24,2.83,0
20200408:2111,0,0,8.46,3.45,0
20200408:2211,0,0,6.34,4.07,0
20200408:2311,0,0,5.3,3.45,0
20200409:0011,0,0,5.14,2.97,0
20200409:0111,0,0,5.69,2.76,0
20200409:0211,0,0,5.66,2.76,0
20200409:0311,0,0,5.56,2.83,0
20200409:0411,0,0,5.51,2.76,0
20200409:0511,0,0,5.51,2.76,0
20200409:0611,5.02,6.18,5.54,2.83,0
20200409:0711,20.35,14.59,5.53,3.03,0
20200409:0811,72.36,22.72,5.71,3.38,0
20200409:0911,86.18,30.12,5.88,3.59,0
20200409:1011,122.32,36.21,6.32,3.79,0
20200409:1111,109.53,40.29,6.78,3.79,0
20200409:1211,183.87,41.76,7.09,3.72,0
20200409:1311,224.02,40.35,7.66,3.79,0
20200409:1411,230.4,36.32,8.17,3.79,0
20200409:1511,224.75,30.27,8.21,3.93,0
20200409:1611,123.03,22.9,8.3,4.14,0
20200409:1711,76.7,14.77,8.07,3.86,0
20200409:1811,12.31,6.36,7.8,3.72,0
20200409:1911,0,0,7.71,3.52,0
20200409:2011,0,0,6.98,3.31,0
20200409:2111,0,0,6.4,3.03,0
20200409:2211,0,0,5.98,2.76,0
20200409:2311,0,0,5.73,2.55,0
20200410:0011,0,0,5.28,2.34,0
20200410:0111,0,0,4.6,2.28,0
20200410:0211,0,0,4.57,2.07,0
20200410:0311,0,0,4.3,2,0
20200410:0411,0,0,4.36,1.79,0
20200410:0511,0,0,4.56,1.66,0
20200410:0611,16.42,6.53,4.88,1.52,0
20200410:0711,45.59,14.93,5.77,1.38,0
20200410:0811,141.06,23.08,7.32,1.24,0
20200410:0911,268.51,30.49,9.03,1.03,0
20200410:1011,213.63,36.58,10.69,0.9,0
20200410:1111,506.94,40.67,12.16,0.83,0
20200410:1211,610.12,42.14,13.3,0.76,0
20200410:1311,578.32,40.71,14.07,0.76,0
20200410:1411,252.79,36.64,14.42,0.34,0
20200410:1511,102.45,30.57,13.03,1.59,0
20200410:1611,108.03,23.17,12.67,1.52,0
20200410:1711,53.65,15.04,12.63,1.31,0
20200410:1811,5.47,6.63,12.17,1.24,0
20200410:1911,0,0,12.73,2,0
20200410:2011,0,0,11.98,2.14,0
20200410:2111,0,0,11.64,2.48,0
20200410:2211,0,0,11.61,2.97,0
20200410:2311,0,0,11.31,3.24,0
20200411:0011,0,0,10.72,3.17,0
20200411:0111,0,0,10.23,3.24,0
20200411:0211,0,0,9.87,3.31,0
20200411:0311,0,0,9.69,3.38,0
20200411:0411,0,0,9.67,3.59,0
20200411:0511,0,0,9.74,3.79,0
20200411:0611,17.78,6.87,9.79,4,0
20200411:0711,135.57,15.28,10,4.21,0
20200411:0811,274.88,23.43,10.91,4.21,0
20200411:0911,288.47,30.84,11.86,5.93,0
20200411:1011,378.94,36.95,11.91,5.93,0
20200411:1111,388.48,41.05,11.84,5.59,0
20200411:1211,875.53,42.5,11.74,6.28,0
20200411:1311,813.8,41.05,11.76,6.21,0
20200411:1411,728.27,36.96,12.24,5.72,0
20200411:1511,558.99,30.86,12.58,5.31,0
20200411:1611,365.91,23.45,12.57,4.97,0
20200411:1711,148.63,15.3,12.16,4.41,0
20200411:1811,17.78,6.89,11.27,4.69,0
20200411:1911,0,0,10.84,4.9,0
20200411:2011,0,0,9.88,4.9,0
20200411:2111,0,0,9.26,4.97,0
20200411:2211,0,0,8.9,4.76,0
20200411:2311,0,0,8.59,4.41,0
20200412:0011,0,0,8.39,4,0
20200412:0111,0,0,8.09,3.72,0
20200412:0211,0,0,7.83,3.59,0
20200412:0311,0,0,7.58,3.45,0
20200412:0411,0,0,7.27,3.24,0
20200412:0511,0,0,6.82,2.9,0
20200412:0611,4.56,7.21,6.37,2.55,0
20200412:0711,22.14,15.62,7.04,2.41,0
20200412:0811,53.27,23.77,7.04,2.28,0
20200412:0911,116.97,31.2,7.19,2.28,0
20200412:1011,339.34,37.31,7.52,2.28,0
20200412:1111,356.14,41.42,7.96,2.62,0
20200412:1211,392.96,42.87,8.04,3.1,0
20200412:1311,630.92,41.4,8.07,3.59,0
20200412:1411,482.64,37.28,8.15,3.52,0
20200412:1511,269.01,31.16,8.13,3.1,0
20200412:1611,187.89,23.72,8.07,3.52,0
20200412:1711,39.5,15.56,7.13,6.97,0
20200412:1811,10.94,7.16,5.67,7.38,0
20200412:1911,0,0,5.31,6.83,0
20200412:2011,0,0,4.95,6.62,0
20200412:2111,0,0,4.58,6.69,0
20200412:2211,0,0,4.21,7.1,0
20200412:2311,0,0,3.75,6.97,0
20200413:0011,0,0,3.34,6.62,0
20200413:0111,0,0,2.65,6.83,0
20200413:0211,0,0,2.43,6.62,0
20200413:0311,0,0,2.33,6.34,0
20200413:0411,0,0,2.2,5.93,0
20200413:0511,0,0,2.17,5.79,0
20200413:0611,15.5,7.55,2.16,5.45,0
20200413:0711,48.48,15.96,2.05,5.59,0
20200413:0811,78.85,24.12,2.26,5.38,0
20200413:0911,90.97,31.55,2.63,5.03,0
20200413:1011,90.97,37.68,3.01,4.69,0
20200413:1111,93.96,41.79,3.32,4.28,0
20200413:1211,108.93,43.23,3.54,4,0
20200413:1311,133.05,41.74,4.05,3.79,0
20200413:1411,92.77,37.6,4.25,3.52,0
20200413:1511,167.56,31.45,4.21,3.03,0
20200413:1611,344.96,23.99,4.17,2.28,0
20200413:1711,148.39,15.83,4.14,1.72,0
20200413:1811,19.61,7.42,3.88,1.31,0
20200413:1911,0,0,3.53,1.17,0
20200413:2011,0,0,2.73,1.52,0
20200413:2111,0,0,1.92,1.66,0
20200413:2211,0,0,0.9,1.79,0
20200413:2311,0,0,0.36,1.93,0
20200414:0011,0,0,0.25,2.21,0
20200414:0111,0,0,0.72,2.55,0
20200414:0211,0,0,0.82,2.9,0
20200414:0311,0,0,1.07,3.31,0
20200414:0411,0,0,1.3,3.59,0
20200414:0511,0,0,1.53,3.72,0
20200414:0611,24.62,7.89,1.96,3.79,0
20200414:0711,140.34,16.29,2.91,3.79,0
20200414:0811,270.48,24.46,4.57,4.48,0
20200414:0911,549.04,31.91,6,4.9,0
20200414:1011,711.4,38.04,7.28,4.9,0
20200414:1111,817.28,42.16,8.42,4.83,0
20200414:1211,363.86,43.6,9.58,4.83,0
20200414:1311,533.21,42.08,10.52,4.69,0
20200414:1411,149.98,37.91,11.14,4.69,0
20200414:1511,166.5,31.74,11.29,4.69,0
20200414:1611,179.62,24.26,11.13,4.62,0
20200414:1711,53.27,16.09,10.62,4.21,0
20200414:1811,19.15,7.68,9.76,4.14,0
20200414:1911,0,0,8.81,4.34,0
20200414:2011,0,0,7.63,4.48,0
20200414:2111,0,0,6.67,4.62,0
20200414:2211,0,0,5.96,4.55,0
20200414:2311,0,0,5.43,4.21,0
20200415:0011,0,0,5.06,3.93,0
20200415:0111,0,0,4.66,3.66,0
20200415:0211,0,0,4.35,3.66,0
20200415:0311,0,0,4.05,3.66,0
20200415:0411,0,0,3.73,3.66,0
20200415:0511,0,0,3.47,3.79,0
20200415:0611,25.54,8.22,3.61,3.93,0
20200415:0711,142.15,16.63,5.05,4.41,0
20200415:0811,361.81,24.8,6.11,4.97,0
20200415:0911,552.3,32.25,7.34,4.97,0
20200415:1011,722.88,38.4,8.83,4.69,0
20200415:1111,829.98,42.52,10.25,4.41,0
20200415:1211,864.72,43.95,11.46,4.28,0
20200415:1311,824.61,42.42,12.42,4.21,0
20200415:1411,709.92,38.22,13.02,4.14,0
20200415:1511,548.71,32.02,13.25,4.14,0
20200415:1611,353.85,24.53,13.12,4.07,0
20200415:1711,137.14,16.35,12.7,3.79,0
20200415:1811,24.62,7.94,11.97,3.24,0
20200415:1911,0,0,11.45,3.1,0
20200415:2011,0,0,10.19,3.38,0
20200415:2111,0,0,9.17,3.52,0
20200415:2211,0,0,8.28,3.1,0
20200415:2311,0,0,7.63,2.62,0
20200416:0011,0,0,6.96,2.21,0
20200416:0111,0,0,6.26,1.93,0
20200416:0211,0,0,5.7,1.59,0
20200416:0311,0,0,5,1.52,0
20200416:0411,0,0,4.81,1.59,0
20200416:0511,0,0,5.58,1.86,0
20200416:0611,17.78,8.55,6.58,2.28,0
20200416:0711,30.52,16.95,6.93,3.66,0
20200416:0811,98.01,25.13,7.21,4.83,0
20200416:0911,98.75,32.6,6.96,4.9,0
20200416:1011,99.35,38.75,6.82,4.76,0
20200416:1111,145.14,42.88,7.05,4.62,0
20200416:1211,129.87,44.31,7.17,4.41,0
20200416:1311,125.09,42.76,7.25,4.14,0
20200416:1411,123.97,38.53,6.82,3.79,0
20200416:1511,123.92,32.31,7,3.86,0
20200416:1611,73.02,24.8,6.71,3.79,0
20200416:1711,35.31,16.61,6.57,3.86,0
20200416:1811,14.59,8.2,6.28,3.72,0
20200416:1911,0,0,6.08,3.17,0
20200416:2011,0,0,5.67,3.1,0
20200416:2111,0,0,5.44,3.03,0
20200416:2211,0,0,5.29,2.97,0
20200416:2311,0,0,5.17,2.83,0
20200417:0011,0,0,5.06,2.69,0
20200417:0111,0,0,4.86,2.69,0
20200417:0211,0,0,4.69,2.69,0
20200417:0311,0,0,4.64,2.83,0
20200417:0411,0,0,4.53,2.9,0
20200417:0511,0,0,4.41,3.03,0
20200417:0611,15.5,8.87,4.52,3.24,0
20200417:0711,65.72,17.28,5.31,3.79,0
20200417:0811,145.09,25.46,5.73,3.86,0
20200417:0911,203.82,32.94,6.28,4.07,0
20200417:1011,131.75,39.11,6.85,4.41,0
20200417:1111,148.11,43.24,7.26,4.76,0
20200417:1211,154.73,44.66,7.34,5.1,0
20200417:1311,230.56,43.09,7.34,5.1,0
20200417:1411,348.38,38.84,7.11,5.1,0
20200417:1511,438.59,32.59,6.98,5.03,0
20200417:1611,265.97,25.06,6.41,4.9,0
20200417:1711,129.5,16.86,5.88,4.62,0
20200417:1811,26.9,8.45,5.37,4.55,0
20200417:1911,0,0,4.71,4.21,0
20200417:2011,0,0,4.12,4.14,0
20200417:2111,0,0,3.92,4.21,0
20200417:2211,0,0,3.77,4,0
20200417:2311,0,0,3.67,3.79,0
20200418:0011,0,0,3.64,3.66,0
20200418:0111,0,0,3.67,3.59,0
20200418:0211,0,0,3.58,3.59,0
20200418:0311,0,0,3.78,3.59,0
20200418:0411,0,0,3.86,3.38,0
20200418:0511,0,0,3.75,3.1,0
20200418:0611,25.08,9.19,3.92,3.17,0
20200418:0711,86.03,17.6,4.4,3.93,0
20200418:0811,193.93,25.79,5.04,3.93,0
20200418:0911,347.44,33.27,5.73,4.07,0
20200418:1011,503.6,39.45,6.32,4.21,0
20200418:1111,649.19,43.6,6.69,4.07,0
20200418:1211,726.57,45.01,7.15,3.93,0
20200418:1311,781.47,43.42,7.71,3.86,0
20200418:1411,696.3,39.14,7.92,3.93,0
20200418:1511,533.16,32.87,7.88,3.93,0
20200418:1611,339.15,25.33,7.66,3.93,0
20200418:1711,126.61,17.12,7.2,3.79,0
20200418:1811,26.45,8.71,6.67,3.38,0
20200418:1911,0,0,6.16,2.9,0
20200418:2011,0,0,5.57,2.07,0
20200418:2111,0,0,4.74,1.79,0
20200418:2211,0,0,3.81,1.79,0
20200418:2311,0,0,3.01,1.93,0
20200419:0011,0,0,2.71,2.14,0
20200419:0111,0,0,2.6,2.21,0
20200419:0211,0,0,2.8,2.07,0
20200419:0311,0,0,3.32,1.93,0
20200419:0411,0,0,3.84,1.93,0
20200419:0511,0,0,3.75,2,0
20200419:0611,30.55,9.51,3.67,1.72,0
20200419:0711,125.54,17.92,4.74,2.07,0
20200419:0811,354.64,26.11,6,2.76,0
20200419:0911,534.71,33.61,7.31,3.45,0
20200419:1011,704.23,39.8,8.35,3.93,0
20200419:1111,815.51,43.95,9.11,4.28,0
20200419:1211,848.59,45.36,9.65,4.55,0
20200419:1311,803.08,43.75,9.95,4.76,0
20200419:1411,694.32,39.44,10,4.97,0
20200419:1511,531.34,33.15,9.88,5.03,0
20200419:1611,339.91,25.59,9.57,5.03,0
20200419:1711,130.77,17.37,9.06,4.76,0
20200419:1811,22.8,8.96,8.37,4.07,0
20200419:1911,0,0,7.33,4.07,0
20200419:2011,0,0,6.26,3.45,0
20200419:2111,0,0,5.52,3.1,0
20200419:2211,0,0,5.05,3.1,0
20200419:2311,0,0,4.76,3.24,0
20200420:0011,0,0,4.52,3.31,0
20200420:0111,0,0,4.32,3.38,0
20200420:0211,0,0,4.14,3.38,0
20200420:0311,0,0,4.08,3.45,0
20200420:0411,0,0,4.09,3.45,0
20200420:0511,0,0,4.13,3.31,0
20200420:0611,29.64,9.83,4.5,3.24,0
20200420:0711,143.24,18.24,5.33,3.72,0
20200420:0811,340.49,26.43,6.75,4.34,0
20200420:0911,536.47,33.94,7.9,4.9,0
20200420:1011,706.53,40.14,8.68,5.79,0
20200420:1111,817.47,44.3,9.04,6.28,0
20200420:1211,850.49,45.7,9.21,6.28,0
20200420:1311,800.59,44.08,9.38,6.07,0
20200420:1411,684.22,39.74,9.37,5.86,0
20200420:1511,534.2,33.42,9.18,5.66,0
20200420:1611,339.34,25.85,8.79,5.52,0
20200420:1711,128.78,17.62,8.21,5.24,0
20200420:1811,21.89,9.21,7.49,4.9,0
20200420:1911,0,0,6.58,4.48,0
20200420:2011,0,0,5.74,4.28,0
20200420:2111,0,0,5.33,4.28,0
20200420:2211,0,0,5.12,4.14,0
20200420:2311,0,0,4.92,3.93,0
20200421:0011,0,0,4.8,3.79,0
20200421:0111,0,0,4.82,3.52,0
20200421:0211,0,0,4.86,3.31,0
20200421:0311,0,0,4.73,3.31,0
20200421:0411,0,0,4.74,3.38,0
20200421:0511,0,0,4.8,3.45,0
20200421:0611,27.36,10.14,5.4,3.52,0
20200421:0711,142.45,18.55,6.4,4.41,0
20200421:0811,339.71,26.75,7.64,5.31,0
20200421:0911,532.29,34.26,8.69,5.86,0
20200421:1011,703.62,40.48,9.33,5.79,0
20200421:1111,771.59,44.64,9.82,5.93,0
20200421:1211,817.49,46.04,10.21,5.93,0
20200421:1311,792.93,44.4,10.46,5.93,0
20200421:1411,677.11,40.04,10.44,5.79,0
20200421:1511,525.62,33.69,10.15,5.66,0
20200421:1611,333.13,26.1,9.65,5.59,0
20200421:1711,126.43,17.87,9.02,5.31,0
20200421:1811,26.45,9.46,8.3,4.76,0
20200421:1911,0,0,7.2,4.55,0
20200421:2011,0,0,6.4,4.28,0
20200421:2111,0,0,5.98,4.14,0
20200421:2211,0,0,5.75,3.93,0
20200421:2311,0,0,5.58,3.79,0
20200422:0011,0,0,5.5,3.66,0
20200422:0111,0,0,5.57,3.59,0
20200422:0211,0,0,5.52,3.59,0
20200422:0311,0,0,5.56,3.52,0
20200422:0411,0,0,5.6,3.45,0
20200422:0511,2.28,2.23,5.61,3.24,0
20200422:0611,27.36,10.44,6.08,3.03,0
20200422:0711,139.57,18.85,6.89,3.59,0
20200422:0811,326.08,27.06,8.14,4.55,0
20200422:0911,506.79,34.58,8.77,4.48,0
20200422:1011,671.83,40.81,9.59,4.41,0
